Wikipedia link,Common name,Synonyms
https://en.wikipedia.org/wiki/Linezolid,Linezolid,Zyvox|Zyvoxid
https://en.wikipedia.org/wiki/2C-B,2C-B,
https://en.wikipedia.org/wiki/Minoxidil,Minoxidil,Rogaine|Loniten
https://en.wikipedia.org/wiki/Salbutamol,Salbutamol,Ventolin|Proventil|ProAir
https://en.wikipedia.org/wiki/Alpha-1%20antitrypsin,Alpha-1 antitrypsin,Aralast|Zemaira|Glassia
https://en.wikipedia.org/wiki/Cholecalciferol,Cholecalciferol,
https://en.wikipedia.org/wiki/Ergocalciferol,Ergocalciferol,Drisdol|Calcidol
https://en.wikipedia.org/wiki/Dextroamphetamine,Dextroamphetamine,Dexedrine|DextroStat|Metamina|Attentin|Zenzedi|ProCentra|Amfexa|Tentin
https://en.wikipedia.org/wiki/Tincture%20of%20iodine,Tincture of iodine,
https://en.wikipedia.org/wiki/Furosemide,Furosemide,Lasix
https://en.wikipedia.org/wiki/Gabapentin,Gabapentin,Neurontin
https://en.wikipedia.org/wiki/Omeprazole,Omeprazole,Losec|Prilosec|Zegerid
https://en.wikipedia.org/wiki/Propofol,Propofol,Diprivan
https://en.wikipedia.org/wiki/Naproxen,Naproxen,Aleve|Naprosyn
https://en.wikipedia.org/wiki/Oxygen%20therapy,Oxygen therapy,
https://en.wikipedia.org/wiki/Venlafaxine,Venlafaxine,Effexor|Efexor
https://en.wikipedia.org/wiki/Verapamil,Verapamil,Isoptin|Calan
https://en.wikipedia.org/wiki/Sirolimus,Sirolimus,Rapamune|Fyarro
https://en.wikipedia.org/wiki/Everolimus,Everolimus,Afinitor|Zortress
https://en.wikipedia.org/wiki/Mycophenolic%20acid,Mycophenolic acid,CellCept|Myfortic
https://en.wikipedia.org/wiki/Basiliximab,Basiliximab,Simulect
https://en.wikipedia.org/wiki/Daclizumab,Daclizumab,Zinbryta (multiple sclerosis)&lt;br/&gt;Zenapax (acute transplant rejection|discontinued in 2009)
https://en.wikipedia.org/wiki/Levofloxacin,Levofloxacin,Levaquin|Tavanic|Leflox|Levobact|Iquix
https://en.wikipedia.org/wiki/Aminolevulinic%20acid,Aminolevulinic acid,Levulan|NatuALA|Ameluz
https://en.wikipedia.org/wiki/Hydrochlorothiazide,Hydrochlorothiazide,Apo-hydro
https://en.wikipedia.org/wiki/Imatinib,Imatinib,Gleevec|Glivec
https://en.wikipedia.org/wiki/Filgrastim,Filgrastim,Neupogen|Zarxio|Granix|Fraven
https://en.wikipedia.org/wiki/Triazolam,Triazolam,Halcion
https://en.wikipedia.org/wiki/Low-molecular-weight%20heparin,Low-molecular-weight heparin,
https://en.wikipedia.org/wiki/Clopidogrel,Clopidogrel,Plavix|Iscover
https://en.wikipedia.org/wiki/Troglitazone,Troglitazone,Rezulin|Resulin|Romozin|Noscal
https://en.wikipedia.org/wiki/Tyramine,Tyramine,
https://en.wikipedia.org/wiki/Trastuzumab,Trastuzumab,Herceptin|Herzuma|Ogivri
https://en.wikipedia.org/wiki/Pilocarpine,Pilocarpine,Isopto Carpine|Salagen
https://en.wikipedia.org/wiki/Prednisolone,Prednisolone,Orapred|PediaPred|Millipred
https://en.wikipedia.org/wiki/Atorvastatin,Atorvastatin,Lipitor|Sortis
https://en.wikipedia.org/wiki/Clindamycin,Clindamycin,Cleocin|Clinacin|Dalacin
https://en.wikipedia.org/wiki/Rosuvastatin,Rosuvastatin,Crestor|Rosulip|Zuvamor
https://en.wikipedia.org/wiki/Pravastatin,Pravastatin,Pravachol|Selektine
https://en.wikipedia.org/wiki/Lovastatin,Lovastatin,Mevacor|Altocor
https://en.wikipedia.org/wiki/Tretinoin,Tretinoin,Vesanoid|Avita|Renova|Retin-a
https://en.wikipedia.org/wiki/Amlodipine,Amlodipine,Norvasc
https://en.wikipedia.org/wiki/Midazolam,Midazolam,Dormicum|Hypnovel|Versed
https://en.wikipedia.org/wiki/Lidocaine/prilocaine,Lidocaine/prilocaine,Emla|Fortacin|Senstend
https://en.wikipedia.org/wiki/Celecoxib,Celecoxib,Celebrex|Onsenal|Elyxyb
https://en.wikipedia.org/wiki/Pantoprazole,Pantoprazole,Protonix
https://en.wikipedia.org/wiki/Permethrin,Permethrin,Nix|Rid|Elimite
https://en.wikipedia.org/wiki/Amiodarone,Amiodarone,Cordarone|Nexterone|Pacerone
https://en.wikipedia.org/wiki/Dapsone,Dapsone,Aczone
https://en.wikipedia.org/wiki/Desflurane,Desflurane,Suprane
https://en.wikipedia.org/wiki/Aztreonam,Aztreonam,Azactam|Cayston
https://en.wikipedia.org/wiki/Enalapril,Enalapril,[http://zada.ba/en/proizvod/kadril-en/ Kadril]|Vasotec|Renitec|Enacard
https://en.wikipedia.org/wiki/Roxithromycin,Roxithromycin,Rulide|Biaxsig
https://en.wikipedia.org/wiki/Clonazepam,Clonazepam,Klonopin|Rivotril
https://en.wikipedia.org/wiki/Famotidine,Famotidine,Pepcid
https://en.wikipedia.org/wiki/Donepezil,Donepezil,Aricept
https://en.wikipedia.org/wiki/Etanercept,Etanercept,Enbrel|Benepali|Erelzi
https://en.wikipedia.org/wiki/Suramin,Suramin,Antrypol|309 Fourneau|Bayer 205
https://en.wikipedia.org/wiki/Flecainide,Flecainide,Tambocor
https://en.wikipedia.org/wiki/Ipratropium%20bromide,Ipratropium bromide,Atrovent|Apovent|Ipraxa
https://en.wikipedia.org/wiki/Irbesartan,Irbesartan,Avapro
https://en.wikipedia.org/wiki/Enalaprilat,Enalaprilat,
https://en.wikipedia.org/wiki/Abciximab,Abciximab,Reopro
https://en.wikipedia.org/wiki/Testosterone%20propionate/testosterone%20phenylpropionate/testosterone%20isocaproate/testosterone%20decanoate,Testosterone propionate/testosterone phenylpropionate/testosterone isocaproate/testosterone decanoate,Durandrone Forte|Durateston|Prarbolan|Sustanon 250|Sustanon Prolongatum
https://en.wikipedia.org/wiki/Buprenorphine,Buprenorphine,Subutex|Sixmo
https://en.wikipedia.org/wiki/Ketoconazole,Ketoconazole,Nizoral
https://en.wikipedia.org/wiki/Hydroxycarbamide,Hydroxycarbamide,Droxia|Hydrea|Siklos
https://en.wikipedia.org/wiki/Rabeprazole,Rabeprazole,Aciphex|Pariet|Rafron
https://en.wikipedia.org/wiki/Fluconazole,Fluconazole,
https://en.wikipedia.org/wiki/Metoprolol,Metoprolol,Lopressor|Metolar XR|Toprol XL
https://en.wikipedia.org/wiki/Emtricitabine,Emtricitabine,Emtriva
https://en.wikipedia.org/wiki/Ergoloid,Ergoloid,
https://en.wikipedia.org/wiki/Benzoyl%20peroxide,Benzoyl peroxide,Benzac|Clearasil|PanOxyl
https://en.wikipedia.org/wiki/Tetryzoline,Tetryzoline,
https://en.wikipedia.org/wiki/Deoxycholic%20acid,Deoxycholic acid,Kybella|Belkyra
https://en.wikipedia.org/wiki/DPT%20vaccine,DPT vaccine,Adacel|Boostrix|Revaxis
https://en.wikipedia.org/wiki/Ritonavir,Ritonavir,Norvir
https://en.wikipedia.org/wiki/Colistin,Colistin,Xylistin|Coly-Mycin M|Colobreathe
https://en.wikipedia.org/wiki/Cryoprecipitate,Cryoprecipitate,
https://en.wikipedia.org/wiki/Prostacyclin,Prostacyclin,Flolan|Veletri
https://en.wikipedia.org/wiki/Chlorhexidine,Chlorhexidine,Betasept|ChloraPrep|Chlorostat
https://en.wikipedia.org/wiki/Streptokinase,Streptokinase,
https://en.wikipedia.org/wiki/Rifamycin,Rifamycin,Aemcolo
https://en.wikipedia.org/wiki/Cyclobenzaprine,Cyclobenzaprine,Flexeril|Amrix
https://en.wikipedia.org/wiki/Etiracetam,Etiracetam,
https://en.wikipedia.org/wiki/Cetirizine,Cetirizine,Zyrtec|Incidal
https://en.wikipedia.org/wiki/Oseltamivir,Oseltamivir,Tamiflu
https://en.wikipedia.org/wiki/Nitrous%20oxide%20%28medication%29,Nitrous oxide (medication),Entonox
https://en.wikipedia.org/wiki/Fexofenadine,Fexofenadine,Allegra
https://en.wikipedia.org/wiki/Neuropeptide%20Y,Neuropeptide Y,
https://en.wikipedia.org/wiki/Fenfluramine,Fenfluramine,Fintepla
https://en.wikipedia.org/wiki/Alendronic%20acid,Alendronic acid,Fosamax|Binosto
https://en.wikipedia.org/wiki/Trimethoprim/sulfamethoxazole,Trimethoprim/sulfamethoxazole,Bactrim|Cotrim|Septra
https://en.wikipedia.org/wiki/Bleomycin,Bleomycin,Blenoxane
https://en.wikipedia.org/wiki/Mannitol,Mannitol,Osmitrol|Bronchitol
https://en.wikipedia.org/wiki/Nicotine%20replacement%20therapy,Nicotine replacement therapy,Nicoderm|Commit|Nicorette|Nicotrol
https://en.wikipedia.org/wiki/Imipramine,Imipramine,Tofranil|Tofranil-PM
https://en.wikipedia.org/wiki/Influenza%20vaccine,Influenza vaccine,Afluria|Fluarix|Fluzone
https://en.wikipedia.org/wiki/Tetrahydrobiopterin,Tetrahydrobiopterin,Kuvan|Biopten
https://en.wikipedia.org/wiki/Live%20attenuated%20influenza%20vaccine,Live attenuated influenza vaccine,FluMist Quadrivalent|Fluenz Tetra
https://en.wikipedia.org/wiki/Dimercaprol,Dimercaprol,BAL in Oil
https://en.wikipedia.org/wiki/Zopiclone,Zopiclone,Imovane|Zimovane|Dopareel
https://en.wikipedia.org/wiki/Mesalazine,Mesalazine,Asacol|Lialda|Pentasa
https://en.wikipedia.org/wiki/Natamycin,Natamycin,Natacyn
https://en.wikipedia.org/wiki/Amantadine,Amantadine,Gocovri|Symadine|Symmetrel
https://en.wikipedia.org/wiki/Chlortalidone,Chlortalidone,Hygroton|Thalitone
https://en.wikipedia.org/wiki/MeNZB,MeNZB,
https://en.wikipedia.org/wiki/Terbinafine,Terbinafine,Lamisil
https://en.wikipedia.org/wiki/Ondansetron,Ondansetron,Zofran
https://en.wikipedia.org/wiki/Baclofen,Baclofen,Lioresal|Liofen|Gablofen
https://en.wikipedia.org/wiki/Pyridoxine,Pyridoxine,
https://en.wikipedia.org/wiki/Rasburicase,Rasburicase,Elitek|Fasturtec
https://en.wikipedia.org/wiki/Rituximab,Rituximab,Rituxan|MabThera
https://en.wikipedia.org/wiki/Cannabidiol,Cannabidiol,Epidiolex|Epidyolex
https://en.wikipedia.org/wiki/Triamcinolone,Triamcinolone,Kenalog|Nasacort|Adcortyl
https://en.wikipedia.org/wiki/Omalizumab,Omalizumab,Xolair
https://en.wikipedia.org/wiki/Salmeterol,Salmeterol,Serevent|Aeromax
https://en.wikipedia.org/wiki/Ranitidine,Ranitidine,Zantac|&lt;ref name=&quot;Zantac FDA label&quot;&gt;{{cite web | title=Zantac 150 (ranitidine hydrochloride) Tablets|USP Zantac 300 (ranitidine hydrochloride) Tablets|USP | website=DailyMed | date=28 June 2018 | url=https://dailymed.nlm.nih.gov/dailymed/archives/fdaDrugInfo.cfm?archiveid=379425 | access-date=18 February 2021}}&lt;/ref&gt;
https://en.wikipedia.org/wiki/Lisinopril,Lisinopril,Prinivil|&lt;ref name=&quot;Prinivil FDA Label&quot; /&gt; Zestril|&lt;ref name=&quot;Zestril FDA Label&quot; /&gt; Qbrelis|&lt;ref name=&quot;Qbrelis FDA Label&quot; /&gt; Dapril|&lt;ref name=&quot;DaprilDrugs&quot;&gt;{{cite web |title=Dapril |url=https://www.drugs.com/international/dapril.html |website=publisher=Drugsite Trust |access-date=13 August 2021}}&lt;/ref&gt;
https://en.wikipedia.org/wiki/Budesonide/formoterol,Budesonide/formoterol,Symbicort|DuoResp Spiromax|BiResp Spiromax
https://en.wikipedia.org/wiki/Formoterol,Formoterol,Oxeze|Foradil
https://en.wikipedia.org/wiki/Bicalutamide,Bicalutamide,Casodex|Calutex
https://en.wikipedia.org/wiki/Tamoxifen,Tamoxifen,Nolvadex|Genox|Tamifen
https://en.wikipedia.org/wiki/Nimodipine,Nimodipine,Nimotop|Nymalize
https://en.wikipedia.org/wiki/Urokinase,Urokinase,
https://en.wikipedia.org/wiki/Alteplase,Alteplase,Activase|Actilyse|Cathflo Activase
https://en.wikipedia.org/wiki/Atosiban,Atosiban,Tractocile|Antocin
https://en.wikipedia.org/wiki/Iron%28II%2CIII%29%20oxide,"Iron(II,III) oxide",Feraheme|Rienso
https://en.wikipedia.org/wiki/Leuprorelin,Leuprorelin,Lupron|Eligard|Lucrin
https://en.wikipedia.org/wiki/Saline%20%28medicine%29,Saline (medicine),
https://en.wikipedia.org/wiki/Butalbital/acetaminophen,Butalbital/acetaminophen,Allzital|Butapap|Fioricet
https://en.wikipedia.org/wiki/Ursodeoxycholic%20acid,Ursodeoxycholic acid,Actigall|Urso
https://en.wikipedia.org/wiki/Cefixime,Cefixime,Suprax
https://en.wikipedia.org/wiki/Lactitol,Lactitol,Importal|Pizensy|Lacty
https://en.wikipedia.org/wiki/Tuberculin,Tuberculin,Aplisol|Mantoux|PPD
https://en.wikipedia.org/wiki/Artesunate,Artesunate,
https://en.wikipedia.org/wiki/Octreotide,Octreotide,Sandostatin|Bynfezia Pen|Mycapssa
https://en.wikipedia.org/wiki/Montelukast,Montelukast,Singulair
https://en.wikipedia.org/wiki/Contraceptive%20patch,Contraceptive patch,Ortho Evra|Xulane|Evra
https://en.wikipedia.org/wiki/Contraceptive%20patch,Contraceptive patch,Twirla
https://en.wikipedia.org/wiki/Lansoprazole,Lansoprazole,Prevacid
https://en.wikipedia.org/wiki/Glucose/fructose/phosphoric%20acid,Glucose/fructose/phosphoric acid,Emetrol
https://en.wikipedia.org/wiki/Fingolimod,Fingolimod,Gilenya
https://en.wikipedia.org/wiki/C1-inhibitor,C1-inhibitor,Cinryze|Ruconest|Berinert
https://en.wikipedia.org/wiki/Betamethasone,Betamethasone,Celestone|Eleuphrat
https://en.wikipedia.org/wiki/Bevacizumab,Bevacizumab,Avastin|Zirabev|Mvasi
https://en.wikipedia.org/wiki/Lugol%27s%20iodine,Lugol's iodine,
https://en.wikipedia.org/wiki/Oxazepam,Oxazepam,Serax|Alepam|Generics
https://en.wikipedia.org/wiki/Pancreatic%20enzymes%20%28medication%29,Pancreatic enzymes (medication),Creon|Pancreaze|Pancrex|...''more''
https://en.wikipedia.org/wiki/Chloroquine,Chloroquine,Aralen|other
https://en.wikipedia.org/wiki/Meloxicam,Meloxicam,Mobic|Metacam|Muvera|Anjeso
https://en.wikipedia.org/wiki/Cetuximab,Cetuximab,Erbitux
https://en.wikipedia.org/wiki/Levothyroxine,Levothyroxine,Synthroid|Levoxyl|Thyrax
https://en.wikipedia.org/wiki/Coricidin,Coricidin,Coricidin 'D'
https://en.wikipedia.org/wiki/Glycopyrronium%20bromide,Glycopyrronium bromide,
https://en.wikipedia.org/wiki/Olopatadine,Olopatadine,Patanol|Opatanol|Allelock
https://en.wikipedia.org/wiki/Entecavir,Entecavir,Baraclude
https://en.wikipedia.org/wiki/Pentosan%20polysulfate,Pentosan polysulfate,
https://en.wikipedia.org/wiki/Insulin%20glargine,Insulin glargine,Lantus|Toujeo|Abasaglar
https://en.wikipedia.org/wiki/Dimercaptosuccinic%20acid,Dimercaptosuccinic acid,Chemet
https://en.wikipedia.org/wiki/Daptomycin,Daptomycin,Cubicin|Cubicin RF
https://en.wikipedia.org/wiki/Pneumococcal%20polysaccharide%20vaccine,Pneumococcal polysaccharide vaccine,Pneumovax 23
https://en.wikipedia.org/wiki/Benzonatate,Benzonatate,Tessalon|Zonatuss
https://en.wikipedia.org/wiki/Doxorubicin,Doxorubicin,Adriamycin|Caelyx|Myocet
https://en.wikipedia.org/wiki/Methylprednisolone,Methylprednisolone,Medrol|Depo-Medrol (as acetate)|Solu-Medrol (as succinate)
https://en.wikipedia.org/wiki/Adalimumab,Adalimumab,Humira|Mabura|Exemptia
https://en.wikipedia.org/wiki/Anakinra,Anakinra,Kineret
https://en.wikipedia.org/wiki/Protamine%20sulfate,Protamine sulfate,Prosulf
https://en.wikipedia.org/wiki/Granulocyte-macrophage%20colony-stimulating%20factor,Granulocyte-macrophage colony-stimulating factor,
https://en.wikipedia.org/wiki/Cinacalcet,Cinacalcet,Sensipar|Mimpara
https://en.wikipedia.org/wiki/Cefuroxime%20axetil,Cefuroxime axetil,Zinnat|Ceftin|Ceftum
https://en.wikipedia.org/wiki/Hexachlorophene,Hexachlorophene,pHisoHex|Gamophen|Septisol|Turgex|Germa-Medica|Hexachlorophane|Almederm
https://en.wikipedia.org/wiki/Nicorette,Nicorette,Nicorette
https://en.wikipedia.org/wiki/Enoxolone,Enoxolone,Arthrodont|PruClair
https://en.wikipedia.org/wiki/Natalizumab,Natalizumab,Tysabri|Antegren
https://en.wikipedia.org/wiki/Bupivacaine,Bupivacaine,Marcaine|Sensorcaine|Posimir
https://en.wikipedia.org/wiki/Ringer%27s%20lactate%20solution,Ringer's lactate solution,
https://en.wikipedia.org/wiki/Fluoride%20therapy,Fluoride therapy,OrthoWash|PerioMed
https://en.wikipedia.org/wiki/Fluticasone%20propionate,Fluticasone propionate,Flovent|Flixotide|Flonase
https://en.wikipedia.org/wiki/Arsenic%20trioxide,Arsenic trioxide,Trisenox
https://en.wikipedia.org/wiki/Methocarbamol,Methocarbamol,Robaxin|Marbaxin
https://en.wikipedia.org/wiki/Policosanol,Policosanol,
https://en.wikipedia.org/wiki/Primidone,Primidone,Lepsiral|Mysoline|Resimatil
https://en.wikipedia.org/wiki/Viloxazine,Viloxazine,Qelbree|Vivalan|Emovit
https://en.wikipedia.org/wiki/Diclofenac/misoprostol,Diclofenac/misoprostol,Arthrotec
https://en.wikipedia.org/wiki/Hyoscine%20butylbromide,Hyoscine butylbromide,Buscopan
https://en.wikipedia.org/wiki/4-Aminopyridine,4-Aminopyridine,Ampyra|Fampyra
https://en.wikipedia.org/wiki/Clobazam,Clobazam,Frisium|Urbanol|Onfi
https://en.wikipedia.org/wiki/Methoxsalen,Methoxsalen,Oxsoralen|Uvadex|8-mop
https://en.wikipedia.org/wiki/Pregabalin,Pregabalin,Lyrica
https://en.wikipedia.org/wiki/Iodine%20%28125I%29%20human%20albumin,Iodine (125I) human albumin,Jeanatope
https://en.wikipedia.org/wiki/Betamethasone%20dipropionate,Betamethasone dipropionate,Diprolene|Sernivo|Diprosone
https://en.wikipedia.org/wiki/Prednisolone%20sodium%20phosphate,Prednisolone sodium phosphate,
https://en.wikipedia.org/wiki/Isosorbide,Isosorbide,Ismotic|Isobide
https://en.wikipedia.org/wiki/Prazosin,Prazosin,Minipress|Vasoflex|Lentopres
https://en.wikipedia.org/wiki/Clofarabine,Clofarabine,Clolar|Evoltra
https://en.wikipedia.org/wiki/Midodrine,Midodrine,Amatine|Proamatine|Gutron
https://en.wikipedia.org/wiki/Trandolapril/verapamil,Trandolapril/verapamil,Tarka
https://en.wikipedia.org/wiki/Hydroxychloroquine,Hydroxychloroquine,Plaquenil
https://en.wikipedia.org/wiki/Selenium%20disulfide,Selenium disulfide,Selseb|Selsun Blue
https://en.wikipedia.org/wiki/Piperacillin,Piperacillin,Pipracil
https://en.wikipedia.org/wiki/Saquinavir,Saquinavir,Invirase|Fortovase
https://en.wikipedia.org/wiki/Bacitracin/polymyxin%20B,Bacitracin/polymyxin B,Polysporin
https://en.wikipedia.org/wiki/Enoxaparin%20sodium,Enoxaparin sodium,Lovenox|Clexane|Xaparin
https://en.wikipedia.org/wiki/Valsartan,Valsartan,Diovan
https://en.wikipedia.org/wiki/Valganciclovir,Valganciclovir,Valcyte|Valcip
https://en.wikipedia.org/wiki/Timolol,Timolol,Betimol|Istalol
https://en.wikipedia.org/wiki/Desogestrel,Desogestrel,Cerazette|Lovima|Hana
https://en.wikipedia.org/wiki/Drospirenone,Drospirenone,''Alone'': Slynd&lt;br /&gt;''With estradiol'': Angeliq&lt;br /&gt;''With [[ethinylestradiol'': Yasmin|Yasminelle|Yaz
https://en.wikipedia.org/wiki/Stiripentol,Stiripentol,Diacomit
https://en.wikipedia.org/wiki/Dornase%20alfa,Dornase alfa,Pulmozyme
https://en.wikipedia.org/wiki/Tobramycin,Tobramycin,Tobrex|Tobi
https://en.wikipedia.org/wiki/Deferoxamine,Deferoxamine,Desferal
https://en.wikipedia.org/wiki/Fomepizole,Fomepizole,Antizol
https://en.wikipedia.org/wiki/Soybean%20oil,Soybean oil,Nutrilipid|Intralipid
https://en.wikipedia.org/wiki/Peginterferon%20alfa-2a,Peginterferon alfa-2a,Pegasys
https://en.wikipedia.org/wiki/Methylone,Methylone,
https://en.wikipedia.org/wiki/Argatroban,Argatroban,
https://en.wikipedia.org/wiki/Interferon%20gamma,Interferon gamma,Actimmune
https://en.wikipedia.org/wiki/Amisulpride,Amisulpride,Solian|Barhemsys
https://en.wikipedia.org/wiki/Ethambutol,Ethambutol,Myambutol|Etibi|&lt;ref name=Ric2015&gt;{{cite book| vauthors = Hamilton R |title=Tarascon Pocket Pharmacopoeia |edition= Deluxe Lab-Coat |year= 2015|publisher=Jones &amp; Bartlett Learning|isbn=9781284057560|page=48}}&lt;/ref&gt; Servambutol
https://en.wikipedia.org/wiki/4-Aminosalicylic%20acid,4-Aminosalicylic acid,Paser|Granupas
https://en.wikipedia.org/wiki/Ibritumomab%20tiuxetan,Ibritumomab tiuxetan,Zevalin
https://en.wikipedia.org/wiki/Selenous%20acid,Selenous acid,
https://en.wikipedia.org/wiki/Interferon%20beta-1b,Interferon beta-1b,Betaseron|Actoferon|Extavia
https://en.wikipedia.org/wiki/Tizanidine,Tizanidine,Zanaflex|Sirdalud
https://en.wikipedia.org/wiki/Fresh%20frozen%20plasma,Fresh frozen plasma,| tradename 		=
