Mesh ID,Generic name,Common name,Synonyms
D018712,Amantadine,Amantadine,"Aman|Amanta|Llorente, Amantadina|Symadine|Gen-Amantadine|PMSAmantadine|Amantadinneuraxpharm|AmantaSulfateAZU|Amantadin-neuraxpharm|InfectoFlu|Amantadin AL|Amantadin ratiopharm|Amanta HCI AZU|Infecto Flu|Amantadina Juventus|Infex|Amantadinratiopharm|1 Aminoadamantane|Amanta-HCI-AZU|Adekin|Cerebramed|Amantadin-ratiopharm|Endantadine|Infecto-Flu|Amixx|Amantadin neuraxpharm|Amantadine|AZU, Amantadin|Juventus, Amantadina|Gen Amantadine|tregor|Adamantylamine|Hydrochloride, Amantadine|Amanta-Sulfate-AZU|Amantadina Llorente|Amantadin Stada|GenAmantadine|Sulfate, Amantadine|Wiregyt|Amantadine Hydrochloride|Amantadine Sulfate|AmantaHCIAZU|1-Aminoadamantane|Stada, Amantadin|Amantadin AZU|Amanta Sulfate AZU|Mantadix|PMS Amantadine|Symmetrel|PMS-Amantadine|AL, Amantadin|Viregyt|Midantan"
D005100,Ambroxol,Ambroxol,"Surbronc|Larylin Husten-Löser|Larylin Husten Löser|Ambrohexal|stasHustenlöser|Ambroten|Lasolvan|Bisolvon AM|NA-872|Contac Husten-Trunk|Ambrolös|AM, Bisolvon|Hustenlöser, Pect|Mucotablin|Ambrofur|NA872|Contac HustenTrunk|Muco Fips|Ambroxin|Contac Husten Trunk|Expit|Mibrox|Motosol|Muco-Fips|Flavamed|stas Hustenlöser|NA 872|Ringelheimer Pulmonal|Ebromin|Bromhexine Metabolite VIII|Dinobroxol|AmbroPuren|Ambro-Puren|Sekretovit|Metabolite VIII, Bromhexine|Ambrobeta|Abrohexal|Larylin HustenLöser|Ambroxocompren|Pect Hustenlöser|Pulmonal S|Therapin Hustenlöser|Expeflen|Frenopect|Ambril|Duramucal|4-(((2-Amino-3,5-dibromophenyl)methyl)amino)cyclohexanol|Broxol|Gelopol|Mucosolvan|Farmabroxol|Pulmonal, Ringelheimer|Bronchowern|Pädiamuc|Hustenlöser, Therapin|MucoFips|stas-Hustenlöser|Ambrolitic|AMBROPP|Ambroxol|Bronchopront|Ambro Puren"
D000900,Amdinocillin,Amdinocillin,Penicillin Hx|Amdinocillin|FL1060|FL 1060|Mecillinam|FL-1060
D000900,Amikacin,Amikacin,"Kanbine|Amikayect|BB-K8|BBK8|BBK 8|A.M.K|Sulfate, Amikacin|BB K 8|Biklin|Normon, Amikacina|Amikason's|Yectamid|Amikacina Medical|Amukin|Oprad|Amikin|Biclin|BB K8|BB-K 8|Amikacin|Medical, Amikacina|Amikalem|Amikacin Sulfate|Amiklin|Gamikal|Amikacina Normon|Amikafur"
D062686,Amiloride,Amiloride,"Hydrochloride, Amiloride|Amiduret Trom|Amiloride Hydrochloride, Anhydrous|Kaluril|Midoride|Amiloberag|Amidal|Trom, Amiduret|Midamor|Amiloride|Anhydrous Amiloride Hydrochloride|Hydrochloride, Anhydrous Amiloride|Modamide|Amiloride Hydrochloride"
D009153,Aminacrine,Aminacrine,"Aminacrine|Aminacrine Hydrochloride|Aminoacridine Hydrochloride|Aminoacridine|9 Aminoacridine|Hydrochloride, Aminoacridine|Aminopt|Mykocert|Acridinamine|9-Aminoacridine|Hydrochloride, Aminacrine"
D047072,Aminoglutethimide,Aminoglutethimide,Cytadren|Aminoglutethimide|Orimeten
D005493,Aminopterin,Aminopterin,"Disodium Salt Aminopterin|Sodium, Aminopterin|Aminopterin, Disodium Salt|Aminopterin|Aminopterin Sodium"
D000632,Aminopyrine,Aminopyrine,Aminopyrine|Amidophen|Eufibron|Dimethylaminoantipyrine|Amidopyrine|Dimethyl N aminoantipyrine|Dimethylaminophenazone|Dipyrine|Amidazophen|Dimethyl-N-aminoantipyrine|Aminofenazone|Aminophenazone|Amidophenazon
D000635,Aminorex,Aminorex,Aminorex|Menocil|Aminoxaphen|Aminoxafen
D065692,Amiodarone,Amiodarone,"Amiodarone|Braxan|SKF 33134A|Rytmarone|Amiohexal|Cordarone|Hydrochloride, Amiodarone|SKF 33134-A|SKF 33134 A|Ortacrone|Amiodarone Hydrochloride|Tachydaron|Kordaron|L-3428|Corbionax|Amiobeta|L3428|Cordarex|L 3428|Amiodarex|Trangorex|Amiodarona|Aratac"
D018759,Amitriptyline,Amitriptyline,"Amitriptyline|Tryptizol|Elavil|Amitriptylin Beta|Amitriptylin Desitin|Lentizol|Triptafen|Novoprotect|Apo-Amitriptyline|Apo Amitriptyline|Tryptanol|Sarotex|Amitrol|Amitriptylin RPh|Laroxyl|Amitrip|Amitriptylin-Neuraxpharm|Tryptine|Endep|Desitin, Amitriptylin|Domical|Amitriptylin Neuraxpharm|Damilen|Amitriptyline Hydrochloride|Amineurin|RPh, Amitriptylin|Saroten|Syneudon|Anapsique"
D018757,Amobarbital,Amobarbital,"Amobarbital Sodium|Amytal|Amobarbital|Amylobarbitone|Novamobarb|Amsal|Amobarbital, Sodium|Isoamitil Sedante|Transital|Pentymal|Neur-Amyl|Placidel|Amytal Sodium|Sodium Amobarbital|Amylbarb sodium|Sodium Amytal|Eunoctal|Isonal|Barbamyl|Sodium, Amobarbital|Amylobeta"
D000962,Amodiaquine,Amodiaquine,"Amodiaquin|Camoquine|Flavoquine|Hydrochloride, Amodiaquine|Amodiaquine Hydrochloride|Amodiachin|Amodiaquine|Camoquin"
D018759,Amoxapine,Amoxapine,"CL 67,772|CL67,772|Asendin|Amoxapine|CL-67,772|Asendis|Demolox|2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine|Desmethylloxapine|Défanyl"
D000900,Amoxicillin,Amoxicillin,"Amoxil|Amoxicillin|Wymox|Amoxycillin|Hydroxyampicillin|Clamoxyl G.A.|Amoxicillin, (R*)-Isomer|BRL2333|Amoxicillin Anhydrous|Amoxicilline|Clamoxyl Parenteral|Trimox|Penamox|BRL-2333|Amoxicillin Monopotassium Salt|Amoxicillin Monosodium Salt|Clamoxyl|Polymox|Amoxicillin Sodium|BRL 2333|Actimoxi|Amoxicillin Trihydrate"
D018765,Amphetamine,Amphetamine,"Amphetamine Sulfate (2:1)|Amfetamine|Levoamphetamine|Amphetamine|levo Amphetamine|l-Amphetamine|Amphetamine Sulfate|Fenamine|Desoxynorephedrin|Mydrial|Centramina|Phenopromin|Thyramine|levo-Amphetamine|l Amphetamine|Sulfate, Amphetamine|Phenamine"
D000981,Amphotericin B,Amphotericin B,Amphotericin|Amphotericin B|Amphocil|Amphotericin B Cholesterol Dispersion|Amphotericin B Colloidal Dispersion|Fungizone
D000900,Ampicillin,Ampicillin,"Amcill|Pentrexyl|Antibiotic KS R1|Trihydrate, Ampicillin|Sodium, Ampicillin|Aminobenzyl Penicillin|Ampicillin|Ukapen|Penicillin, Aminobenzyl|Antibiotic KS-R1|Ampicillin Sodium|Ampicillin Trihydrate|KS-R1, Antibiotic|Aminobenzylpenicillin|Omnipen|Polycillin"
D003049,Amprolium,Amprolium,"Noé Socopharm Hydrochloride|Amprolium Hydrochloride|Hydrochloride, Amprolium|Némaprol|Amprol|Anticoccid|Hydrochloride, Noé-Socopharm|Pyridinium, 1-((4-Amino-2-propyl-5-pyrimidinyl)methyl)-2-methyl-, Chloride (1:1)|Noé-Socopharm Hydrochloride|Amprolium|Chloride, Amprolium|Amprolium Chloride"
D058987,Amrinone,Amrinone,"Cordemcura|Win40680|Inocor|Win 40680|5-Amino-(3,4'-bipyridine)-6(1H)-one|Amrinon|Amrinone|Win-40680|Wincoram"
D007364,Amsacrine,Amsacrine,AMSA P D|meta AMSA|NSC 141549|SN-11841|NSC 156303|m-AMSA|NSC156303|Amsacrine|Amsidine|NSC-141549|AMSA P-D|AMSA|AMSA PD|meta-AMSA|Cain's Acridine|SN11841|Amsacrina|NSC-249992|NSC141549|Amsidyl|NSC249992|Cains Acridine|Cain Acridine|NSC-156303|NSC 249992|SN 11841
D005343,Ancrod,Ancrod,Agkistrodon rhodostoma Venom Protease|Arvin|Venacil|Arvin IRC 50|Arvin IRC50|Agkistrodon Serine Proteinase|Arvin IRC-50|Ancrod|Arwin
D000735,Androstenedione,Androstenedione,"4 Androstene 3,17 dione|delta-4-Androstenedione|delta 4 Androstenedione|Androstenedione|4-Androstene-3,17-dione"
D019384,Anisomycin,Anisomycin,Anisomycin|Flagecidin
D018926,Antazoline,Antazoline,"Antasten|Analergine|Antazoline Phosphate (1:1)|Antistine|Antazoline|Imidamine|Antazoline Phosphate|Hydrochloride, Antazoline|Phenazoline|Antazoline Hydrochloride|Arithmin|Phosphate, Antazoline"
D003879,Anthralin,Anthralin,"FNA, Ditranol|Anthranol|Dithrocream|Dithranol|1,8-Dihydroxy-9-anthrone|1,8 Dihydroxy 9 anthrone|Psoradrate|Ditranol FNA|Anthraforte|Psoricrème|1,8,9-Anthracenetriol|Cygnoline|Anthralin|Cignolin|Micanol|Dihydroxyanthranol|1,8-Dihydroxy-9(10H)-anthracenone|Lasan"
D000900,Aurodox,Aurodox,N Methylkirromycin|X5108|X-5108|Antibiotic X 5108|N-Methylkirromycin|Goldinomycin|X 5108|Goldinodox|Aurodox
D011480,Antipain,Antipain,Antipain
D014528,Apazone,Apazone,"Apazone Dihydrate|Apazone|5-(Dimethylamino)-9-methyl-2-propyl-1H-pyrazolo(1,2-a)(1,2,4)benzotriazine-1,3(2H)-dione|Rheumox|Prolixan|Azapropazone|Tolyprin|Dihydrate, Apazone"
D018491,Apomorphine,Apomorphine,"Apomorphine|Apomorphine Hydrochloride, Hemihydrate|Apomorphine Hydrochloride Anhydrous|Apomorphin-Teclapharm|Apomorphine Chloride|Apomorphin Teclapharm|Apokinon|Apomorphine Hydrochloride|Apomorphine Hydrochloride, Anhydrous|Britaject"
D061567,Aprindine,Aprindine,Aprindine|Fiboran|Amidonal
D001104,Arbutin,Arbutin,Arbutin
D013549,Aspartame,Aspartame,"TriSweet|Tri Sweet|Canderel|Aspartylphenylalanine, Methyl|Goldswite|SC-18862|Aspartame|Methyl Ester, Aspartylphenylalanine|Gold, Hermesetas|Milisucre|Aspartylphenylalanine Methyl Ester|Methyl Aspartylphenylalanine|Hermesetas Gold|Nozucar|NutraSweet|SC 18862|Tri-Sweet|SC18862"
D058633,Aspirin,Aspirin,"Micristin|Endosprin|Acid, Acetylsalicylic|Zorprin|Acetylsalicylic Acid|Aloxiprimum|Dispril|Solprin|Polopirin|Colfarit|Polopiryna|Magnecyl|Solupsan|Acetysal|Easprin|Ecotrin|2-(Acetyloxy)benzoic Acid|Aspirin|Acylpyrin"
D058671,Atenolol,Atenolol,ICI66082|ICI-66082|Tenormin|ICI 66082|Atenolol|Tenormine
D018733,Atracurium,Atracurium,"Atracurium Besylate|Atracurium Besilate|BW-33A|Besilate, Atracurium|33 A 74|Relatrac|Atracurium|Atracurium Dibesylate|A 74, 33|BW 33A|Tracrium|BW33A"
D006540,Atrazine,Atrazine,Atrazine|Gesamprim
D018727,Atropine,Atropine,"Atropinol|Atropine Sulfate|AtroPen|Anhydrous, Atropine Sulfate|Atropine|Augenöl, Atropin|Sulfate, Atropine|Atropin Augenöl|Sulfate Anhydrous, Atropine|Atropine Sulfate Anhydrous"
D018501,Auranofin,Auranofin,F-39162|&|SK|F 39162|F39162|F D 39162|Ridaura|Crisinor|Ridauran|Auranofin
D001710,Avidin,Avidin,Avidin
D018492,Azaperone,Azaperone,Azaperone|R-1929|Stresnil|R1929
D018501,Azathioprine,Azathioprine,"Azathioprine Sodium|Imuran|Azothioprine|Sodium, Azathioprine|Azathioprine Sodium Salt|Azathioprine|Immuran|Imurel|Azathioprine Sulfate"
D000900,Azlocillin,Azlocillin,"Bay-e 6905|Azlocillin Sodium|Azlocillin, Sodium|Baye 6905|Securopen|Azlocillin|Azlin|Bay e 6905|Sodium, Azlocillin|Sodium Azlocillin"
D000900,Aztreonam,Aztreonam,"Az-threonam|SQ-26,776|Az threonam|SQ 26,776|Urobactam|SQ26,776|Aztreonam|Azactam|Azthreonam"
D000900,Bacitracin,Bacitracin,"Ak Tracin|Zeba-Rx|OcuTracin|Bacitracine Martinet|Zeba Rx|Baciguent|Baci-Rx|Baci-IM|Altracin|Topitracin|Bacitracin|Zinc, Bacitracin|Bacitracin Zinc|Baci IM|Martinet, Bacitracine|Ocu-Tracin|Bacitracin Zinc Complex|Zinc Bacitracin|Ak-Tracin|Bacitracin, Zinc|Baci Rx|Bacitin|Ocu Tracin"
D058786,Baclofen,Baclofen,"Genpharm|Gen Baclofen|Baclofen|PCP-GABA|Baclofène Irex|PMSBaclofen|NuBaclo|Apo Baclofen|Atrofen|Liorésal|AWD, Baclofen|Chlorophenyl GABA|PMS-Baclofen|Nu-Baclo|GenBaclofen|Baclofène-Irex|beta-(Aminomethyl)-4-chlorobenzenepropanoic Acid|Nu Baclo|CIBA34,647BA|GABA, Chlorophenyl|Lebic|BaclofèneIrex|Ba-34,647|beta-(p-Chlorophenyl)-gamma-aminobutyric Acid|Clofen|Baclofen AWD|Baclospas|Gen-Baclofen|Lioresal|Ba34647|ApoBaclofen|PMS Baclofen|Apo-Baclofen|Ba-34647|Baclophen|CIBA-34,647-BA|Ba34,647"
D000900,Bambermycins,Bambermycins,Bambermycins|Flavomycins|Flavomycin|Bambermycin|Flavophospholipols|Moenomycins|Menomycin|Flavophospholipol
D018757,Barbital,Barbital,Veronal|Medinal|Ethylbarbital|Barbitone|Barbital|Diemal|Dormileno|Diethylmalonylurea
D018927,Beclomethasone,Beclomethasone,"Beclazone|Filair Forte|Nasobec Aqueous|Dipropionate, Beclomethasone|Beclo AZU|Aldecin|Bronchocort|Becloturmant|Filair|Becodisk|Beclorhinol|AeroBec Forte|Beclomethasone Dipropionate|Ascocortonyl|Ecobec|Becotide|Beclometasone|Apo-Beclomethasone|Asmabec Clickhaler|Beclocort|Junik|Propaderm|Sanasthmyl|Respocort|Vanceril|Beconase AQ|Becodisks|Prolair|Beconase|Becloforte|Beclovent|Beclamet|Beclomet|Viarin|Sanasthmax|Vancenase|Beclomethasone|Beclazone Easy Breathe|Qvar|Ventolair|Beclo Asma|Bemedrex Easyhaler|Aerobec"
D019141,Bemegride,Bemegride,Methetharimide|Bemegride|Megimide|Ethylmethylglutarimide
D018727,Benactyzine,Benactyzine,Amizil|Benactyzine|Amizyl|Lucidil
D014665,Bencyclane,Bencyclane,"Fludilat|Dilangio compositu|Fumarate, Bencyclane|Halidor|compositu, Dilangio|Bencyclane Fumarate|Bencyclane|Desoblit|Fluxema"
D049993,Bendroflumethiazide,Bendroflumethiazide,Bendrofluazide|Bendroflumethiazide|Naturine|Pluryl|Berkozide|Naturetin|Aprinox|Urizid|Benzide M|Benzide|Neo NaClex|Centyl|Benzide-M|Esberizid|Neo-NaClex
D018492,Benperidol,Benperidol,Benperidol|Benperidolneuraxpharm|Anquil|Benperidol neuraxpharm|Glianimon|Benperidol-neuraxpharm|Frenactil
D014528,Benzbromarone,Benzbromarone,"Besuric|Acifugan|Narcaricin|Benzbromaron Ratiopharm|Urinorm|Benzbromarone|AL, Benzbromaron|Benzbromaron-Ratiopharm|Benzbromaron|Desuric|Benzbromaron AL"
D000891,Benzethonium,Benzethonium,"Magic, Formula|Quatrachlor|Phemerol|Hyamine 1622|Chloride, Bencetonium|Phemeride|Formula Magic|Bencetonium Chloride|Phemethryn|Orchid Fresh II|Puri-Clens|Chloride, Benzethonium|Solamin|PuriClens|Puri Clens|Benzethonium Chloride|Benzethonium"
D000779,Benzocaine,Benzocaine,"Formate, Benzocaine|Hydrochloride, Benzocaine|Methanesulfonate, Benzocaine|Ethyl Aminobenzoate|Bensokain|4-Aminobenzoic Acid Ethyl Ester|Hydrobromide, Benzocaine|Benzocaine Methanesulfonate|Benzocaine Acetate|Benzocaine Hydrochloride|Ethoform|Americaine|Benzocaine Formate|Benzocaine|Anaesthesin|Anesthesin|Benzocaine Hydrobromide|Acetate, Benzocaine"
D018765,Benzphetamine,Benzphetamine,Benzfetamine|Benzphetamine|Didrex
D018765,Benztropine,Benztropine,"PMS Benztropine|Apo Benztropine|PMS-Benztropine|Benzatropine Methanesulfonate, Hydrobromide|N-Methylbenztropine|Benztropine|Benzatropine Methanesulfonate|Mesylate, Benzatropine|Benzatropine Methanesulfonate, Hydrochloride, (endo)-Isomer|Methanesulfonate, Benzatropine|Benztropine Mesylate|Methanesulfonate, Hydrobromide Benzatropine|Cogentinol|Cogentin|Benzatropine|Apo-Benztropine|Mesylate, Benztropine|Benzatropine Methanesulfonate, Hydrobromide, (endo)-Isomer|Bensylate|N Methylbenztropine|Benzatropine Mesylate|Hydrobromide Benzatropine Methanesulfonate"
D000893,Benzydamine,Benzydamine,"Ratio Benzydamine|Sun Benz|Rosalgin|Ratio-Benzydamine|Benzydamine Monohydrochloride|Sun-Benz|Tantum Topico|Benzydamine Hydrochloride|Monohydrochloride, Benzydamine|Opalgyne|Benzindamine|Novo Benzydamine|Tantum|Benzidamine|PMS Benzydamine|Hydrochloride, Benzydamine|Novo-Benzydamine|Benzydamine|Difflam|PMS-Benzydamine|Lonol"
D017442,Betahistine,Betahistine,"Betahistin Ratiopharm|Betahistine Biphar|PT9|Betahistine|Extovyl|PT 9|Betahistin Stada|Serc|By-Vertin|Melopat|Methanesulfonate, Betahistine|Hydrochloride, Betahistine|Fidium|Aequamen|Betahistine Methanesulphonate|Vertigon|Lectil|Mesylate, Betahistine|By Vertin|PT-9|Betahistine Dihydrobromide|Mersilon|Dihydrochloride, Betahistine|Betahistin-Ratiopharm|Betavert|Betaserc|Betahistine Dihydrochloride|Vasomotal|Betahistine Methanesulfonate|Betahistin AL|Ribrain|Methanesulphonate, Betahistine|Betahistine Hydrochloride|Dihydrobromide, Betahistine|Betahistine Mesylate"
D018927,Betamethasone,Betamethasone,Celestone|Flubenisolone|Celeston|Betamethasone|Celestona|Cellestoderm|Betadexamethasone
D017442,Betazole,Betazole,"Lilly 96791|Betazole Monohydrochloride|Histalog|Ametazole|Betazole Dihydrochloride|Dihydrochloride, Betazole|Betazole|Monohydrochloride, Betazole"
D018663,Bethanidine,Bethanidine,"Betanidine|Bethanidine Sulfate|Sulfate, Bethanidine|Bethanidine, Sulfate (2:1)|Batel|Bethanidine"
D000960,Bezafibrate,Bezafibrate,Bezafibrate|Cedur|Bezafibrat PB|Beza Puren|Difaterol|BM-15.075|Regadrin B|Eulitop|Beza-Lande|Lipox|Befibrat|Bezamerck|Sklerofibrat|Béfizal|Azufibrat|Beza-Puren|Beza Lande|Bezabeta|Solibay|durabezur|Reducterol|BM 15.075|Bezacur|Bezafisal|Bezalip|BM15.075
D058787,Bicuculline,Bicuculline,"6-(5,6,7,8-Tetrahydro-6-methyl-1,3-dioxolo(4,5-g)isoquinolin-5-yl)furo(3,4-e)1,3-benzodioxol-8(6H)one|Bicuculline"
D018727,Biperiden,Biperiden,"Biperiden, 1R-(1 alpha,2 alpha(R*),4 alpha)-Isomer|Biperiden, 1S-(1 alpha,2 alpha(R*),4 alpha)-Isomer|Biperiden|alpha-Bicyclo(2.2.1)hept-5-en-2-yl-alpha-phenyl-1-piperidinepropanol|Biperidene|Hydrochloride, Biperiden|Biperiden Hydrochloride|Akineton"
