Mesh ID,Common name,Synonyms
D058921,Clopidogrel,"Clopidogrel Hydrochloride|Clopidogrel Napadisilate|Clopidogrel Besilate|SC 25989C|SR 25989|Clopidogrel Sandoz|Clopidogrel|Clopidogrel-Mepha|PCR 4099|Clopidogrel Bisulfate|Iscover|Plavix|Clopidogrel, (+)(S)-isomer|Clopidogrel Mepha|Clopidogrel Besylate|PCR-4099|SC 25990C"
D000900,Sulfanilamide,Sulfanilamide Barium Salt|Azol Polvo|4-aminobenzenesulfonamide|Sulfanilamide Monohydrate|Sulfanilamide Sodium Salt|Sulfanilamide Zinc Salt|Sulphanilamide|Sulfanilamide Strontium Salt|Sulfanilamide Hydrochloride|Sulfanilamide Lithium Salt|4 aminobenzenesulfonamide|Sulfanilamide|Sulfanilamide Cadmium Salt|Sulfanilamide Silver Salt|Sulfanilamide Sodium|Sulfanilamide Magnesium Salt
D059004,Irinotecan,NK012 Compound|SN-38|CPT-11|CPT 11|SN-38-11|CPT11|Irrinotecan|SN 38|Irinotecan|7 Ethyl 10 hydroxycamptothecin|Camptosar|7-Ethyl-10-hydroxycamptothecin|Irinotecan Hydrochloride|Camptothecin 11|Camptothecin-11|SN 38 11|SN3811
D018685,Sevoflurane,"Ultane|Sevoflurane|Fluoromethyl-2,2,2-trifluoro-1-(trifluoromethyl)ethyl Ether|Sevorane|BAX 3084|Fluoromethyl Hexafluoroisopropyl Ether"
D017367,Olanzapine,"Zolafren|Olanzapine|LY 170052|Olanzapine Pamoate|LY170052|2-Methyl-4-(4-methyl-1-piperazinyl)-10H-thieno(2,3-b)(1,5)benzodiazepine|Zyprexa|LY 170053|LY-170052"
D007004,Rosiglitazone,"BRL-49653|BRL49653|5-((4-(2-Methyl-2-(pyridinylamino)ethoxy)phenyl)methyl)-2,4-thiazolidinedione-2-butenedioate|Avandia|BRL 49653|Rosiglitazone|Rosiglitazone Maleate"
D047428,Gefitinib,N-(3-Chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamide|Iressa|Gefitinib|ZD1839|ZD 1839
D047428,Sorafenib,Sorafenib|BAY 545-9085|Sorafenib Tosylate|BAY 439006|BAY5459085|Sorafenib N-Oxide|BAY 43-9006|BAY 5459085|BAY 673472|BAY 43 9006|BAY-545-9085|4-(4-(3-(4-Chloro-3-trifluoromethylphenyl)ureido)phenoxy)pyridine-2-carboxylic acid methyamide-4-methylbenzenesulfonate|BAY 545 9085|BAY-673472|Sorafenib N Oxide|Nexavar
D010975,Resveratrol,"trans-Resveratrol|SRT501|Resveratrol|3,5,4'-Trihydroxystilbene|cis-Resveratrol|Resveratrol, (Z)-|SRT 501|SRT-501|trans Resveratrol|Resveratrol-3-sulfate|3,4',5-Stilbenetriol|trans Resveratrol 3 O sulfate|cis Resveratrol|3,4',5-Trihydroxystilbene|Resveratrol 3 sulfate|trans-Resveratrol-3-O-sulfate"
D047428,Wortmannin,MS 54|MS54|Wortmannin|MS-54
D000077194,Chlorophyll A,Chlorophyll A|Chlorophyll A2
D018906,Temozolomide,"Temodar|B-39831|8-Carbamoyl-3-methylimidazo(5,1-d)-1,2,3,5-tetrazin-4(3H)-one|B39831|Temozolomide|TMZ-Bioshuttle|NSC-362856|NSC 362856|B 39831|NSC362856|M|TMZ Bioshuttle|&|TMZA-HE|Methazolastone|Temodal|CCRG81045|Temozolomide Hexyl Ester|CCRG 81045|CCRG-81045"
D007004,Pioglitazone,"U72107A|Actos|AD-4833|Pioglitazone Hydrochloride|U72,107A|Pioglitazone|U 72107A|U-72107A|AD4833|AD 4833|5-(4-(2-(5-Ethyl-2-pyridyl)ethoxy)benzyl)-2,4-thiazolidinedione"
D000701,Remifentanil,Remifentanil Monohydrochloride|Remifentanil|3-(4-Methoxycarbonyl-4-((1-oxopropyl)phenylamino)-1-piperidine)propanoic Acid Methyl Ester|Remifentanil Hydrochloride|GI-87084B|GI 87084B|Ultiva|GI87084B
D004791,Decitabine,"2'-Deoxy-5-azacytidine|5-Aza-2'-deoxycytidine|NSC127716|5-AzadC|NSC 127716|Compound, AzadC|Dacogen|5-Azadeoxycytidine|5-Deoxyazacytidine|5 Deoxyazacytidine|AzadC Compound|Decitabine Mesylate|Mesylate, Decitabine|5 Azadeoxycytidine|5 Aza 2' deoxycytidine|NSC-127716|5AzadC|2' Deoxy 5 azacytidine|Decitabine"
D047428,Sunitinib,"SU 11248|SU 011248|Sutent|SU011248|Sunitinib Malate|SU11248|Sunitinib|SU-011248|SU-11248|5-(5-Fluoro-2-oxo-1,2-dihydroindolylidenemethyl)-2,4-dimethyl-1H-pyrrole-3-carboxylic acid (2-diethylaminoethyl)amide"
D000779,Ropivacaine,"Ropivacaine|1-Propyl-2',6'-pipecoloxylidide|AL 381|Naropeine|LEA 103|AL381|LEA-103|Ropivacaine Hydrochloride|AL-381|1 Propyl 2',6' pipecoloxylidide|LEA103|Ropivacaine Monohydrochloride, (S)-isomer|Naropin|Ropivacaine Monohydrochloride"
D026941,Lamotrigine,"BW-430C|Lamotrigine|Lamictal|3,5-Diamino-6-(2,3-dichlorophenyl)-1,2,4-triazine|3,5-Diamino-6-(2,3-dichlorophenyl)-as-triazine|Lamiktal|Crisomet|Labileno|BW430C|BW 430C"
D043925,Becaplermin,"Recombinant Platelet-Derived Growth Factor BB|PDGF-BB|Platelet Derived Growth Factor BB, Recombinant|Becaplermin|Regranex|Platelet-Derived Growth Factor BB, Recombinant|rPDGF-BB|Platelet Derived Growth Factor BB|rhPDGF-BB|Platelet-Derived Growth Factor BB|Recombinant Platelet Derived Growth Factor BB"
D050257,Vinorelbine,5' Nor anhydrovinblastine|Vinorelbine|KW-2307|Navelbine|5'-Nor-anhydrovinblastine|Vinorelbine Tartrate|KW 2307|KW2307
D007004,Topiramate,"McN 4853|McN-4853|USL255|Topamax|Topiramate|2,3-4,5-bis-O-(1-methylethylidene)-beta-D-fructopyranose sulfamate|McN4853|Epitomax"
D052246,Meloxicam,Mobicox|Movicox|Meloxicam|Parocin|Mobec|Mobic|Masflex|Reumoxicam|Uticox|Miloxicam|Movalis
D058668,Carvedilol,"Querto|Carvedilol, (R)-isomer|Eucardic|Carvedilol, 14C-labeled|Carvedilol Hydrochloride|14C-labeled Carvedilol|Carvedilol, (-)-isomer|Carvedilol, (-)|Dilatrend|BM14190|BM-14190|Carvedilol, (+)-isomer|Kredex|Carvedilol|Carvedilol, (+-)-isomer|Coropres|Carvedilol, (+)|Carvedilol, (S)-isomer|Coreg|Carvedilol, 14C labeled|BM 14190"
D018697,Donepezil,"E-2020|Donepezilium Oxalate Trihydrate|Eranz|Aricept|Donepezil Hydrochloride|E2020|1-Benzyl-4-((5,6-dimethoxy-1-indanon)-2-yl)methylpiperidine hydrochloride|E 2020|Donepezil"
D059005,Moxifloxacin,"1-Cyclopropyl--7-(2,8-diazabicyclo(4.3.0)non-8-yl)-6-fluoro-8-methoxy-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid|BAY 128039|BAY 12-8039|Izilox|Actira|BAY128039|Avalox|BAY-128039|Octegra|Avelox|BAY-12-8039|Moxifloxacin|Moxifloxacin Hydrochloride|Proflox|BAY 12 8039"
D065171,Fulvestrant,"ICI 182,780|ZM-182780|Fulvestrant|ZM182780|Faslodex|ZM 182780|ICI 182780|ICI-182780|ICI182780|7-(9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl)estra-1,3,5(10)-triene-3,17-diol"
D050071,Pamidronate,"Aredia|Pamidronic Acid|Pamidronate Monosodium|Amino-1-hydroxypropane-1,1-diphosphonate|Amidronate|Amino 1 hydroxypropane 1,1 diphosphonate|1 Hydroxy 3 aminopropane 1,1 diphosphonic acid|1-Hydroxy-3-aminopropane-1,1-diphosphonic acid|Aminopropanehydroxydiphosphonate|Pamidronate Disodium|Pamidronate Calcium|(3-Amino-1-hydroxypropylidene)-1,1-biphosphonate|Aminohydroxypropylidene Diphosphonate|Pamidronate|AHPrBP"
D020533,Lenalidomide,"2,6-Piperidinedione, 3-(4-amino-1,3-dihydro-1-oxo-2H- isoindol-2-yl)-|IMiD3 Cpd|Revlimid|Revimid|CC-5013|3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione|Lenalidomide|CC 5013|CC5013"
D007369,Imiquimod,"1-Isobutyl-1H-imidazo(4,5-c)quinolin-4-amine|S-26308|Imiquimod|Zyclara|R-837|R837|S 26308|Aldara|R 837"
D010975,Abciximab,"ReoPro|CentoRx|Abciximab|Clotinab|c7E3 Fab|Chimeric 7E3 Fab|Fab, Chimeric 7E3"
D063387,Rimonabant,"Zimulti|SR 141716|SR-141716A|N-(Piperidin-1-yl)-5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxamide hydrochloride|Rimonabant|Acomplia|SR141716|Rimonabant Hydrochloride|SR141716A|SR 141716A"
D000891,Cetrimonium,"Cetrimonium Methosulfate|Cetrimonium Bromide|Cetrimonium Methyl Sulfate|Cetrimonium|CTAB|Octylsulfonate, Hexadecyltrimethylammonium|Hexadecyltrimethylammonium Bromide|Cetyltrimethylammonium Chloride|Hexadecyltrimethylammonium Octylsulfonate|CTAOH|Cetrimonium Monosulfate|Cetriminium|Cetrimonium Chloride|Hexadecyl Trimethyl Ammonium Bromide|Cetrimonium Iodide|Hexadecyl(trimethyl)azanium|1-Hexadecyltrimethylammonium Chloride|Cetrimonium Hydroxide|Cetavlon|HTAB Cpd|Cetrimide|Cetyltrimethylammonium Bromide"
D018697,Levetiracetam,"S-isomer Etiracetam|Ucb L059|UCB 6474|Etiracetam, S isomer|Ucb-L059|Ucb L060|Etiracetam|alpha-ethyl-2-oxo-1-Pyrrolidineacetamide|Etiracetam, R-isomer|UcbL060|alpha ethyl 2 oxo 1 Pyrrolidineacetamide|Keppra|Etiracetam, R isomer|UCB6474|Etiracetam, S-isomer|Etiracetam, (R)-|Ucb-L060|Levetiracetam|UCB-6474|R-isomer Etiracetam"
D007004,Troglitazone,"CS-045|CS045|Troglitazone|Rezulin|Prelay|CS 045|5-(4-((6-Hydroxy-2,5,7,8-tetramethylchroman-2-yl-methoxy)benzyl)-2,4-thiazolidinedione) - T"
D004791,Terbinafine,"Terbinafine, (Z)-isomer|SF86327|TDT067|(E)-N-(6,6-Dimethyl-2-heptenynyl)-N-methyl-1-naphthalenementhamin hydrochloride|Terbinafine, (Z)-|Terbinafine|SF 86327|TDT-067|Lamisil|SF-86-327|Terbinafine Hydrochloride|SF 86-327|DA 5505|SF 86 327|TDT 067"
D065128,Bosentan,"4-t-Butyl-N-(6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-2,2'-bipyrimidin-4-yl)benzenesulfonamide|Bosentan|Ro 47-0203|Ro 470203|Ro-47-0203|Ro 47 0203|Bosentan Anhydrous|Bosentan Monohydrate|Tracleer"
D012556,Artesunate,"Succinyl Dihydroartemisinin|Malacef|Artesunate|SM-804|SM804|SM 804|Sodium Artesunate|Dihydroartemisinine-12-alpha-succinate|Dihydroartemisinin, Succinyl|Dihydroartemisinine 12 alpha succinate|Malartin"
D047228,Telmisartan,"BIBR 277|BIBR-277|Micardis|Telmisartan|Pritor|4'-((1,4'-Dimethyl-2'-propyl(2,6'-bi-1H-benzimidazol)-1'-yl)methyl)-(1,1'-biphenyl)-2-carboxylic acid"
D058785,Zolpidem,"Zolpi Lich|SL-800750-23-N|Zolpidem Tartrate|Zolirin|Zolpi-Lich|Amsic|Stilnoct|Zolpidem AbZ|SL 800750 23 N|Zolpidem 1A Pharma|Zolpinox|Zodormdura|N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2a)pyridine-3-acetamide hemitartrate|SL 80.0750|Stilnox|Bikalm|Zolpidem|Zoldem|Zolpidem Hemitartrate|Zolpimist|Ambien|Dalparan|Imidazo(1,2-a)pyridine-3-acetamide, N,N,6-trimethyl-2-(4-methylphenyl)-"
D018685,Desflurane,"I-653|I 653|1,2,2,2-Tetrafluoroethyl difluoromethyl ether|Suprane|I653|Desflurane"
D056572,Vorinostat,MK-0683|N Hydroxy N' phenyloctanediamide|18F-SAHA|MK0683|Suberoylanilide Hydroxamic Acid|18F Suberoylanilide Hydroxamic Acid|N1-Hydroxy-N8-phenyloctanediamide|Zolinza|NHNPODA|Vorinostat|N-Hydroxy-N'-phenyloctanediamide|Suberanilohydroxamic Acid|Suberoyl Anilide Hydroxamic Acid|M344|18F-Suberoylanilide Hydroxamic Acid|N1 Hydroxy N8 phenyloctanediamide|MK 0683
D009883,Latanoprost,Xalatan|Latanoprost|PHXA41|PhXA34
